corpus,arm,arm_label,prompt_id,pipeline,metric,run,value,status
europeana-fr-bnf,B_pipeline,Pipeline-only,naive,full,PMs,3,0.1574,measured
europeana-fr-bnf,B_pipeline,Pipeline-only,naive,full,PMr,1,0.2436,measured
europeana-fr-bnf,B_pipeline,Pipeline-only,naive,full,PMr,2,0.2009,measured
europeana-fr-bnf,B_pipeline,Pipeline-only,naive,full,PMr,3,0.1849,measured
europeana-fr-bnf,B_pipeline,Pipeline-only,naive,full,ENT,1,0.267,measured
europeana-fr-bnf,B_pipeline,Pipeline-only,naive,full,ENT,2,0.2206,measured
europeana-fr-bnf,B_pipeline,Pipeline-only,naive,full,ENT,3,0.2032,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,PMs,1,0.6476,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,PMs,2,0.6522,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,PMs,3,0.6418,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,PMr,1,0.7349,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,PMr,2,0.7403,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,PMr,3,0.7344,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,ENT,1,0.7844,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,ENT,2,0.7929,measured
europeana-fr-bnf,C_prompt,Prompt-only,structured,none,ENT,3,0.785,measured
europeana-fr-bnf,D_full,Full,structured,full,PMs,1,0.6548,measured
europeana-fr-bnf,D_full,Full,structured,full,PMs,2,0.6563,measured
europeana-fr-bnf,D_full,Full,structured,full,PMs,3,0.6564,measured
europeana-fr-bnf,D_full,Full,structured,full,PMr,1,0.7339,measured
europeana-fr-bnf,D_full,Full,structured,full,PMr,2,0.7343,measured
europeana-fr-bnf,D_full,Full,structured,full,PMr,3,0.7351,measured
europeana-fr-bnf,D_full,Full,structured,full,ENT,1,0.7793,measured
europeana-fr-bnf,D_full,Full,structured,full,ENT,2,0.7796,measured
europeana-fr-bnf,D_full,Full,structured,full,ENT,3,0.7805,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,PMs,1,0.6346,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,PMs,2,0.6373,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,PMs,3,0.639,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,PMr,1,0.7451,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,PMr,2,0.7466,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,PMr,3,0.746,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,ENT,1,0.7917,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,ENT,2,0.7943,measured
europeana-fr-bnf,C_denoise,C+denoise,structured+OCR_AWARE,none,ENT,3,0.7931,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,PMs,1,0.6308,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,PMs,2,0.6326,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,PMs,3,0.6321,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,PMr,1,0.7388,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,PMr,2,0.736,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,PMr,3,0.7336,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,ENT,1,0.7826,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,ENT,2,0.7794,measured
europeana-fr-bnf,D_denoise,D+denoise,structured+OCR_AWARE,full,ENT,3,0.7779,measured
europeana-fr-bnf,baseline,hmBERT,baseline,baseline,PMs,1,0.4599,measured
europeana-fr-bnf,baseline,hmBERT,baseline,baseline,PMr,1,0.7839,measured
europeana-fr-bnf,baseline,hmBERT,baseline,baseline,ENT,1,0.7679,measured
europeana-fr-bnf,baseline,Claude raw,baseline,baseline,PMs,1,0.6715,measured
europeana-fr-bnf,baseline,Claude raw,baseline,baseline,PMr,1,0.7554,measured
europeana-fr-bnf,baseline,Claude raw,baseline,baseline,ENT,1,0.8419,measured
